24,56,win,91
68,45,loss,91
51,28,win,91
28,25,win,91
56,40,loss,91
27,34,loss,91
34,38,loss,91
48,68,loss,91
37,52,loss,91
44,38,loss,91
25,48,win,91
68,65,loss,91
52,56,win,93
54,38,win,93
43,38,loss,93
72,37,loss,93
68,28,loss,93
72,38,win,93
72,28,loss,93
25,38,win,93
27,51,win,93
68,57,loss,93
35,37,loss,93
68,74,loss,93
35,34,win,93
35,51,win,93
48,27,loss,93
69,48,win,93
74,25,win,93
37,65,win,93
74,44,loss,93
38,52,loss,93
35,56,win,93
25,72,loss,93
65,52,loss,93
40,57,loss,93
57,48,win,93
74,37,loss,93
74,65,win,93
44,28,loss,93
65,24,win,93
74,45,win,93
54,57,win,93
51,48,loss,93
40,69,loss,93
24,70,win,93
20,34,win,93
38,56,loss,93
68,72,loss,93
27,25,win,94
40,26,loss,93
26,52,loss,93
25,24,loss,94
27,35,win,94
52,25,win,100
70,69,win,100
70,54,loss,100
27,51,loss,100
52,24,win,100
56,48,loss,101
57,56,loss,100
44,20,win,100
65,25,win,100
56,34,loss,93
35,28,loss,103
27,20,loss,93
52,54,tie,103
35,68,win,93
25,70,win,107
27,52,loss,107
54,37,loss,112
26,27,win,107
35,27,win,112
38,74,loss,112
70,35,loss,93
70,37,loss,107
54,51,win,112
35,34,loss,110
72,44,loss,107
51,38,win,93
34,37,loss,107
70,34,win,112
25,35,loss,93
35,27,loss,107
44,68,loss,109
48,26,loss,112
68,28,loss,107
56,38,win,109
65,56,win,93
40,37,loss,112
44,56,win,109
27,43,win,93
37,25,loss,107
74,28,loss,112
70,57,win,109
27,38,win,93
24,44,win,107
27,56,win,109
26,37,loss,112
57,74,win,107
27,40,loss,112
68,34,loss,107
74,52,loss,112
57,34,win,107
44,70,loss,93
52,40,win,107
52,57,win,112
35,24,win,110
68,74,loss,107
54,57,loss,109
51,45,loss,107
54,34,win,93
26,25,loss,107
45,65,win,112
68,26,loss,93
43,74,win,107
34,56,loss,112
57,52,loss,107
57,65,win,112
37,44,loss,107
28,40,win,93
74,24,loss,112
54,34,loss,107
52,20,win,112
57,56,loss,107
69,26,loss,112
